timestamp;value
2025-04-28 14:31:01;281.21
2025-04-28 14:32:02;281.27
2025-04-28 14:33:02;281.11
2025-04-28 14:34:01;280.62
2025-04-28 14:35:02;280.47
2025-04-28 14:36:01;280.57
2025-04-28 14:37:02;281.02
2025-04-28 14:38:01;281.00
2025-04-28 14:39:02;280.94
2025-04-28 14:40:01;281.12
2025-04-28 14:41:02;281.24
2025-04-28 14:42:02;281.39
2025-04-28 14:43:01;281.11
2025-04-28 14:44:01;281.47
2025-04-28 14:45:02;281.57
2025-04-28 14:46:01;281.17
2025-04-28 14:47:02;281.63
2025-04-28 14:48:01;281.43
2025-04-28 14:49:02;281.40
2025-04-28 14:50:01;280.99
2025-04-28 14:51:02;281.30
2025-04-28 14:52:01;281.35
2025-04-28 14:53:02;281.30
2025-04-28 14:54:01;281.01
2025-04-28 14:55:02;281.16
2025-04-28 14:56:01;281.00
2025-04-28 14:57:02;280.71
2025-04-28 14:58:01;280.47
2025-04-28 14:59:02;281.06
2025-04-28 15:00:02;281.13
2025-04-28 15:01:01;281.26
2025-04-28 15:02:02;282.18
2025-04-28 15:03:01;282.25
2025-04-28 15:04:02;282.15
2025-04-28 15:05:02;281.92
2025-04-28 15:06:02;281.88
2025-04-28 15:07:01;282.23
2025-04-28 15:08:02;282.29
2025-04-28 15:09:02;282.41
2025-04-28 15:10:01;283.14
2025-04-28 15:11:02;282.87
2025-04-28 15:12:01;282.78
2025-04-28 15:13:02;282.58
2025-04-28 15:14:01;282.29
2025-04-28 15:15:02;283.00
2025-04-28 15:16:01;283.12
2025-04-28 15:17:02;283.00
2025-04-28 15:18:01;283.14
2025-04-28 15:19:02;283.23
2025-04-28 15:20:01;283.72
2025-04-28 15:21:02;283.95
2025-04-28 15:22:01;284.11
2025-04-28 15:23:02;284.22
2025-04-28 15:24:02;284.06
2025-04-28 15:25:01;283.97
2025-04-28 15:26:02;283.67
2025-04-28 15:27:01;284.50
2025-04-28 15:28:01;284.46
2025-04-28 15:29:02;284.83
2025-04-28 15:30:01;284.61
2025-04-28 15:31:02;284.39
2025-04-28 15:32:01;284.65
2025-04-28 15:33:02;284.85
2025-04-28 15:34:01;284.88
2025-04-28 15:35:02;285.15
2025-04-28 15:36:01;285.09
2025-04-28 15:37:02;284.75
2025-04-28 15:38:01;284.39
2025-04-28 15:39:02;284.26
